Num,WriteT,WriteV,ReadT,ReadV,
2,3,682666,292,7013,
4,4,512000,1693,1209,
6,2,1024000,513,3992,
8,2,1024000,615,3330,
10,5,409600,779,2629,
12,3,682666,786,2605,
14,3,682666,1087,1884,
16,3,682666,1136,1802,
18,3,682666,1125,1820,
20,3,682666,1274,1607,
22,3,682666,789,2595,
24,4,512000,856,2392,
26,3,682666,1059,1933,
28,3,682666,1454,1408,
30,4,512000,1797,1139,
32,3,682666,1123,1823,
34,3,682666,1146,1787,
36,3,682666,1164,1759,
38,4,512000,1226,1670,
40,4,512000,2364,866,
42,4,512000,2681,763,
44,6,341333,2650,772,
46,5,409600,2614,783,
48,4,512000,2714,754,
50,4,512000,2924,700,
52,4,512000,2634,777,
54,3,682666,1702,1203,
56,3,682666,1721,1190,
58,5,409600,2118,966,
60,5,409600,3282,624,
62,7,292571,2880,711,
64,4,512000,2404,851,
66,4,512000,2443,838,
68,4,512000,2054,997,
70,6,341333,3636,563,
72,4,512000,3820,536,
74,6,341333,4728,433,
76,4,512000,3295,621,
78,4,512000,4078,502,
80,5,409600,3712,551,
82,5,409600,2757,742,
84,5,409600,2608,785,
86,4,512000,2558,800,
88,5,409600,2614,783,
90,6,341333,4427,462,
92,6,341333,4666,438,
94,5,409600,3881,527,
96,5,409600,3021,677,
98,5,409600,3683,556,
100,6,341333,5083,402,
102,7,292571,5221,392,
104,5,409600,4323,473,
106,4,512000,4166,491,
108,5,409600,4167,491,
110,7,292571,6520,314,
112,7,292571,6007,340,
114,5,409600,4875,420,
116,6,341333,3839,533,
118,5,409600,4574,447,
120,7,292571,9150,223,
122,6,341333,5149,397,
124,5,409600,4856,421,
126,5,409600,4438,461,
128,7,292571,6698,305,
130,6,341333,4628,442,
132,6,341333,4590,446,
134,6,341333,4474,457,
136,123,16650,4422,463,
138,8,256000,7036,291,
140,7,292571,4846,422,
142,6,341333,4740,432,
144,5,409600,4684,437,
146,6,341333,4757,430,
148,8,256000,19492,105,
150,9,227555,21692,94,
152,6,341333,6163,332,
154,6,341333,6123,334,
156,6,341333,5310,385,
158,9,227555,9451,216,
160,6,341333,5554,368,
162,6,341333,5934,345,
164,7,292571,5294,386,
166,6,341333,5535,370,
168,9,227555,8478,241,
170,9,227555,8597,238,
172,8,256000,9543,214,
174,8,256000,8710,235,
176,6,341333,6882,297,
178,8,256000,10403,196,
180,6,341333,6297,325,
182,7,292571,7400,276,
184,7,292571,9381,218,
186,6,341333,6432,318,
188,10,204800,12832,159,
190,7,292571,6292,325,
192,6,341333,7310,280,
194,7,292571,6369,321,
196,7,292571,7872,260,
198,10,204800,9899,206,
200,7,292571,8755,233,
202,8,256000,7930,258,
204,8,256000,7994,256,
206,7,292571,7912,258,
208,11,186181,14370,142,
210,8,256000,15290,133,
212,7,292571,11770,174,
214,8,256000,15760,129,
216,11,186181,13600,150,
218,10,204800,25311,80,
220,11,186181,-879251,-2,
222,9,227555,7860,260,
224,8,256000,13404,152,
226,11,186181,18737,109,
228,8,256000,9471,216,
230,8,256000,15354,133,
232,9,227555,8942,229,
234,8,256000,16058,127,
236,11,186181,24432,83,
238,8,256000,13001,157,
240,8,256000,9511,215,
242,7,292571,9754,209,
244,7,292571,8472,241,
246,12,170666,18801,108,
248,9,227555,9842,208,
250,9,227555,8598,238,
252,8,256000,16160,126,
254,8,256000,9965,205,
256,11,186181,18942,108,
258,12,170666,17180,119,
260,12,170666,24847,82,
262,8,256000,19196,106,
264,8,256000,13232,154,
266,12,170666,13966,146,
268,8,256000,11029,185,
270,8,256000,11832,173,
272,8,256000,11231,182,
274,9,227555,10989,186,
276,12,170666,27972,73,
278,7,292571,15132,135,
280,9,227555,11257,181,
282,9,227555,9405,217,
284,9,227555,11336,180,
286,12,170666,31495,65,
288,9,227555,12373,165,
290,9,227555,12366,165,
292,9,227555,16900,121,
294,13,157538,14428,141,
296,12,170666,16527,123,
298,10,204800,12781,160,
300,8,256000,14658,139,
302,9,227555,15204,134,
304,13,157538,18214,112,
306,13,157538,17075,119,
308,10,204800,14079,145,
310,10,204800,14502,141,
312,9,227555,10078,203,
314,15,136533,18814,108,
316,10,204800,12807,159,
318,10,204800,14763,138,
320,10,204800,18174,112,
322,10,204800,11314,181,
324,14,146285,24484,83,
326,14,146285,17208,119,
328,10,204800,11837,173,
330,10,204800,13742,149,
332,9,227555,21288,96,
334,15,136533,18007,113,
336,10,204800,11973,171,
338,9,227555,14501,141,
340,11,186181,19424,105,
342,11,186181,24028,85,
344,20,102400,28238,72,
346,10,204800,16123,127,
348,11,186181,18266,112,
350,11,186181,14266,143,
352,10,204800,14619,140,
354,15,136533,43785,46,
356,14,146285,36315,56,
358,11,186181,17865,114,
360,11,186181,14744,138,
362,16,128000,21811,93,
364,16,128000,-860337,-2,
366,11,186181,13159,155,
368,11,186181,48701,42,
370,11,186181,14510,141,
372,17,120470,18059,113,
374,10,204800,18334,111,
376,11,186181,12234,167,
378,10,204800,17982,113,
380,11,186181,15773,129,
382,22,93090,21455,95,
384,10,204800,15382,133,
386,11,186181,15903,128,
388,12,170666,15223,134,
390,12,170666,13615,150,
392,15,136533,38961,52,
394,12,170666,25224,81,
396,12,170666,29344,69,
398,11,186181,38711,52,
400,12,170666,16351,125,
402,19,107789,24401,83,
404,11,186181,15931,128,
406,11,186181,17200,119,
408,12,170666,13096,156,
410,17,120470,13099,156,
412,17,120470,23693,86,
414,11,186181,14615,140,
416,12,170666,19188,106,
418,14,146285,17856,114,
420,12,170666,19624,104,
422,17,120470,21627,94,
424,12,170666,22121,92,
426,12,170666,17450,117,
428,12,170666,19089,107,
430,18,113777,36600,55,
432,12,170666,20967,97,
434,12,170666,20757,98,
436,11,186181,18474,110,
438,11,186181,34058,60,
440,20,102400,38874,52,
442,14,146285,32338,63,
444,13,157538,18216,112,
446,12,170666,17690,115,
448,12,170666,19324,105,
450,19,107789,43683,46,
452,12,170666,37057,55,
454,13,157538,22886,89,
456,13,157538,24028,85,
458,13,157538,16771,122,
460,19,107789,37110,55,
462,18,113777,27742,73,
464,12,170666,16563,123,
466,13,157538,16171,126,
468,14,146285,16318,125,
470,20,102400,24084,85,
472,12,170666,19769,103,
474,14,146285,38391,53,
476,13,157538,29530,69,
478,20,102400,36868,55,
480,14,146285,32455,63,
482,14,146285,21853,93,
484,13,157538,26403,77,
486,15,136533,28062,72,
488,20,102400,37308,54,
490,14,146285,37700,54,
492,13,157538,25753,79,
494,13,157538,17954,114,
496,14,146285,17218,118,
498,20,102400,27701,73,
500,13,157538,17662,115,
502,14,146285,17275,118,
504,14,146285,22239,92,
506,14,146285,38486,53,
508,21,97523,37662,54,
510,20,102400,37584,54,
512,14,146285,26685,76,
514,14,146285,20357,100,
516,15,136533,24362,84,
518,21,97523,30967,66,
520,13,157538,21052,97,
522,15,136533,35775,57,
524,15,136533,43997,46,
526,15,136533,22509,90,
528,20,102400,25924,79,
530,14,146285,34237,59,
532,14,146285,19724,103,
534,14,146285,18598,110,
536,20,102400,27872,73,
538,14,146285,34053,60,
540,15,136533,20515,99,
542,14,146285,19544,104,
544,14,146285,30960,66,
546,21,97523,41611,49,
548,15,136533,21808,93,
550,15,136533,28209,72,
552,15,136533,31029,66,
554,15,136533,29215,70,
556,22,93090,26827,76,
558,22,93090,49687,41,
560,15,136533,28619,71,
562,15,136533,28262,72,
564,15,136533,28017,73,
566,23,89043,34386,59,
568,15,136533,38581,53,
570,15,136533,39767,51,
572,16,128000,41831,48,
574,16,128000,46742,43,
576,22,93090,43393,47,
578,22,93090,-855849,-2,
580,16,128000,31843,64,
582,15,136533,20008,102,
584,22,93090,58766,34,
586,16,128000,49249,41,
588,16,128000,40050,51,
590,15,136533,22279,91,
592,16,128000,36287,56,
594,24,85333,42646,48,
596,22,93090,55923,36,
598,16,128000,25306,80,
600,15,136533,24027,85,
602,16,128000,29474,69,
604,24,85333,50302,40,
606,16,128000,52125,39,
608,16,128000,42965,47,
610,16,128000,36139,56,
612,16,128000,45919,44,
614,25,81920,48113,42,
616,16,128000,34703,59,
618,16,128000,-865143,-2,
620,16,128000,39372,52,
622,24,85333,33545,61,
624,16,128000,32287,63,
626,17,120470,27180,75,
628,17,120470,29430,69,
630,16,128000,31126,65,
632,24,85333,40599,50,
634,16,128000,21661,94,
636,17,120470,39044,52,
638,17,120470,34261,59,
640,17,120470,45098,45,
642,24,85333,65151,31,
644,17,120470,28096,72,
646,17,120470,26200,78,
648,17,120470,35481,57,
650,16,128000,42945,47,
652,26,78769,70185,29,
654,17,120470,26738,76,
656,17,120470,24858,82,
658,17,120470,22827,89,
660,24,85333,-861848,-2,
662,24,85333,62627,32,
664,17,120470,32942,62,
666,18,113777,22984,89,
668,18,113777,23303,87,
670,26,78769,37887,54,
672,18,113777,45693,44,
674,17,120470,44432,46,
676,18,113777,41690,49,
678,18,113777,40785,50,
680,26,78769,51159,40,
